212,27,2024-12-15,NOP,@,IND,"L, 104-119",*,36:29,5,16,.313,2,10,.200,3,6,.500,.375,4,4,1.000,1,5,6,2,1,2,2,0,16,10.8,-12,Trey Murphy III
213,28,2024-12-19,NOP,@,HOU,"L, 113-133",*,36:03,10,17,.588,4,6,.667,6,11,.545,.706,4,5,.800,1,0,1,3,1,0,2,4,28,19.9,-11,Trey Murphy III
214,29,2024-12-21,NOP,,NYK,"L, 93-104",*,38:05,11,18,.611,3,8,.375,8,10,.800,.694,1,1,1.000,1,5,6,2,0,2,3,3,26,18.6,-12,Trey Murphy III
215,30,2024-12-22,NOP,,DEN,"L, 129-132 (OT)",*,27:18,9,16,.563,3,7,.429,6,9,.667,.656,0,0,,2,6,8,3,2,0,2,2,21,17.9,8,Trey Murphy III
216,31,2024-12-26,NOP,,HOU,"L, 111-128",*,29:36,7,16,.438,4,9,.444,3,7,.429,.563,3,3,1.000,0,3,3,2,1,0,1,1,21,14.5,-30,Trey Murphy III
217,32,2024-12-27,NOP,,MEM,"L, 124-132",*,38:50,10,21,.476,5,12,.417,5,9,.556,.595,10,11,.909,0,3,3,4,0,1,2,4,35,24.7,-2,Trey Murphy III
218,33,2024-12-30,NOP,,LAC,"L, 113-116",*,37:52,6,10,.600,4,7,.571,2,3,.667,.800,2,2,1.000,1,3,4,6,3,0,2,1,18,19.8,-6,Trey Murphy III
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Trey Murphy III
219,34,2025-01-01,NOP,@,MIA,"L, 108-119",*,39:02,11,24,.458,5,15,.333,6,9,.667,.563,7,7,1.000,1,3,4,3,0,0,1,3,34,23.1,-17,Trey Murphy III
220,35,2025-01-03,NOP,,WAS,"W, 132-120",*,34:31,5,19,.263,2,8,.250,3,11,.273,.316,5,5,1.000,2,3,5,5,1,2,1,2,17,12.1,-11,Trey Murphy III
221,36,2025-01-05,NOP,@,WAS,"W, 110-98",*,29:23,8,19,.421,4,10,.400,4,9,.444,.526,2,2,1.000,3,5,8,2,2,1,0,2,22,18.8,19,Trey Murphy III
,37,2025-01-07,NOP,,MIN,"L, 97-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,38,2025-01-08,NOP,,POR,"L, 100-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,39,2025-01-10,NOP,@,PHI,"W, 123-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
222,40,2025-01-12,NOP,@,BOS,"L, 119-120",*,38:40,10,17,.588,5,10,.500,5,7,.714,.735,5,5,1.000,0,6,6,4,0,0,3,4,30,22.1,-4,Trey Murphy III
223,41,2025-01-14,NOP,@,CHI,"W, 119-113",*,36:56,9,20,.450,2,13,.154,7,7,1.000,.500,12,12,1.000,0,6,6,4,3,1,0,1,32,29.5,0,Trey Murphy III
224,42,2025-01-15,NOP,,DAL,"W, 119-116",*,38:25,7,18,.389,2,6,.333,5,12,.417,.444,8,8,1.000,6,4,10,4,1,3,2,2,24,22.7,13,Trey Murphy III
225,43,2025-01-17,NOP,,UTA,"W, 136-123",*,36:22,6,11,.545,2,6,.333,4,5,.800,.636,5,7,.714,0,4,4,5,2,0,1,5,19,16.6,16,Trey Murphy III
226,44,2025-01-20,NOP,,UTA,"W, 123-119 (OT)",*,44:56,6,15,.400,4,10,.400,2,5,.400,.533,8,10,.800,0,7,7,2,2,2,1,4,24,19.4,-2,Trey Murphy III
227,45,2025-01-24,NOP,@,MEM,"L, 126-139",*,32:41,7,14,.500,1,4,.250,6,10,.600,.536,7,9,.778,0,6,6,4,0,0,1,2,22,17.0,-19,Trey Murphy III
228,46,2025-01-25,NOP,@,CHO,"L, 92-123",*,36:56,5,17,.294,2,9,.222,3,8,.375,.353,4,6,.667,1,3,4,5,2,1,2,1,16,10.7,-15,Trey Murphy III
229,47,2025-01-27,NOP,@,TOR,"L, 104-113",*,38:51,6,14,.429,2,7,.286,4,7,.571,.500,0,0,,1,6,7,3,2,2,3,2,14,10.8,-6,Trey Murphy III
230,48,2025-01-29,NOP,,DAL,"L, 136-137",*,39:11,13,17,.765,5,9,.556,8,8,1.000,.912,1,1,1.000,0,6,6,4,1,0,0,0,32,30.9,0,Trey Murphy III
231,49,2025-01-31,NOP,,BOS,"L, 116-118",*,38:41,15,20,.750,8,12,.667,7,8,.875,.950,2,3,.667,0,5,5,4,1,0,4,5,40,30.9,3,Trey Murphy III
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Trey Murphy III
232,50,2025-02-03,NOP,@,DEN,"L, 113-125",*,37:52,13,21,.619,8,12,.667,5,9,.556,.810,7,7,1.000,1,2,3,3,2,1,0,1,41,37.2,-9,Trey Murphy III
233,51,2025-02-05,NOP,@,DEN,"L, 119-144",*,32:28,9,16,.563,2,4,.500,7,12,.583,.625,5,5,1.000,1,4,5,9,0,1,2,3,25,23.1,-23,Trey Murphy III
234,52,2025-02-08,NOP,@,SAC,"L, 118-123",*,38:22,7,18,.389,3,8,.375,4,10,.400,.472,3,4,.750,0,6,6,7,2,0,3,3,20,14.3,-7,Trey Murphy III
235,53,2025-02-10,NOP,@,OKC,"L, 101-137",*,34:04,7,15,.467,4,7,.571,3,8,.375,.600,5,5,1.000,0,7,7,5,1,0,4,0,23,17.9,-21,Trey Murphy III
236,54,2025-02-12,NOP,,SAC,"L, 111-119",*,36:45,6,16,.375,1,6,.167,5,10,.500,.406,6,6,1.000,0,4,4,5,0,1,3,1,19,12.2,-18,Trey Murphy III
237,55,2025-02-13,NOP,,SAC,"W, 140-133 (OT)",*,43:45,4,17,.235,1,9,.111,3,8,.375,.265,9,12,.750,1,8,9,11,0,0,3,1,18,13.9,10,Trey Murphy III
238,56,2025-02-21,NOP,@,DAL,"L, 103-111",*,36:11,7,19,.368,4,8,.500,3,11,.273,.474,2,2,1.000,1,5,6,6,2,0,1,1,20,16.5,-13,Trey Murphy III
239,57,2025-02-23,NOP,,SAS,"W, 114-96",*,37:40,6,16,.375,3,10,.300,3,6,.500,.469,0,0,,0,7,7,5,0,0,3,2,15,8.0,19,Trey Murphy III
240,58,2025-02-25,NOP,,SAS,"W, 109-103",*,36:08,9,21,.429,3,10,.300,6,11,.545,.500,3,4,.750,2,2,4,4,2,2,3,1,24,17.3,-5,Trey Murphy III
241,59,2025-02-27,NOP,@,PHO,"W, 124-116",*,35:34,6,18,.333,5,13,.385,1,5,.200,.472,1,1,1.000,0,4,4,1,0,1,1,2,18,8.6,-9,Trey Murphy III
242,60,2025-02-28,NOP,@,PHO,"L, 108-125",*,34:37,3,8,.375,2,5,.400,1,3,.333,.500,2,2,1.000,0,3,3,8,1,1,4,2,10,9.0,-19,Trey Murphy III
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Trey Murphy III
243,61,2025-03-02,NOP,@,UTA,"W, 128-121",*,36:22,8,20,.400,3,13,.231,5,7,.714,.475,1,1,1.000,2,4,6,6,2,1,4,2,20,13.9,12,Trey Murphy III
244,62,2025-03-04,NOP,@,LAL,"L, 115-136",*,32:30,6,12,.500,1,6,.167,5,6,.833,.542,6,7,.857,2,4,6,5,2,0,3,3,19,16.5,-29,Trey Murphy III
245,63,2025-03-06,NOP,,HOU,"L, 97-109",*,38:51,9,15,.600,3,8,.375,6,7,.857,.700,5,5,1.000,1,4,5,0,0,2,2,1,26,20.0,-9,Trey Murphy III
246,64,2025-03-08,NOP,@,HOU,"L, 117-146",*,31:20,6,12,.500,0,4,.000,6,8,.750,.500,1,2,.500,2,3,5,2,0,1,2,2,13,8.2,-15,Trey Murphy III
247,65,2025-03-09,NOP,,MEM,"L, 104-107",*,36:42,9,21,.429,2,9,.222,7,12,.583,.476,7,9,.778,2,3,5,2,0,2,3,1,27,16.8,-26,Trey Murphy III
248,66,2025-03-11,NOP,,LAC,"W, 127-120",*,35:58,8,19,.421,3,7,.429,5,12,.417,.500,2,2,1.000,0,4,4,3,2,0,3,2,21,12.4,2,Trey Murphy III
249,67,2025-03-13,NOP,,ORL,"L, 93-113",*,34:26,5,12,.417,1,4,.250,4,8,.500,.458,6,6,1.000,1,4,5,2,0,0,2,2,17,11.1,-15,Trey Murphy III
250,68,2025-03-15,NOP,@,SAS,"L, 115-119",*,37:00,7,16,.438,4,11,.364,3,5,.600,.563,2,2,1.000,1,5,6,3,0,1,2,4,20,13.0,-6,Trey Murphy III
251,69,2025-03-17,NOP,,DET,"L, 81-127",*,00:49,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-1,Trey Murphy III
,70,2025-03-19,NOP,@,MIN,"W, 119-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,71,2025-03-21,NOP,@,MIN,"L, 93-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,72,2025-03-23,NOP,@,DET,"L, 130-136",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,73,2025-03-24,NOP,,PHI,"W, 112-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,74,2025-03-28,NOP,,GSW,"L, 95-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,75,2025-03-30,NOP,,CHO,"W, 98-94",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Trey Murphy III
,76,2025-04-02,NOP,@,LAC,"L, 98-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,77,2025-04-04,NOP,@,LAL,"L, 108-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,78,2025-04-06,NOP,,MIL,"L, 107-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,79,2025-04-08,NOP,@,BRK,"L, 114-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,80,2025-04-10,NOP,@,MIL,"L, 111-136",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,81,2025-04-11,NOP,,MIA,"L, 104-153",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
,82,2025-04-13,NOP,,OKC,"L, 100-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy III
478,1,2024-10-23,NOP,,CHI,"W, 123-111",*,31:28,13,23,.565,3,5,.600,10,18,.556,.630,4,4,1.000,2,5,7,2,2,1,3,4,33,24.5,18,Brandon Ingram
479,2,2024-10-25,NOP,@,POR,"W, 105-103",*,35:19,8,20,.400,4,9,.444,4,11,.364,.500,1,2,.500,2,6,8,4,2,1,2,3,21,15.3,-3,Brandon Ingram
480,3,2024-10-27,NOP,@,POR,"L, 103-125",*,31:37,7,17,.412,0,3,.000,7,14,.500,.412,0,0,,1,7,8,6,0,0,2,2,14,9.1,-23,Brandon Ingram
481,4,2024-10-29,NOP,@,GSW,"L, 106-124",*,31:27,12,17,.706,3,6,.500,9,11,.818,.794,3,3,1.000,1,3,4,2,0,0,3,2,30,22.1,-10,Brandon Ingram
482,5,2024-10-30,NOP,@,GSW,"L, 89-104",*,32:22,5,11,.455,2,6,.333,3,5,.600,.545,2,2,1.000,1,4,5,6,0,0,2,2,14,11.6,-15,Brandon Ingram
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Ingram
483,6,2024-11-01,NOP,,IND,"W, 125-118",*,35:18,10,25,.400,3,8,.375,7,17,.412,.460,3,3,1.000,2,4,6,7,1,2,2,3,26,19.2,17,Brandon Ingram
484,7,2024-11-03,NOP,,ATL,"L, 111-126",*,29:30,12,19,.632,4,8,.500,8,11,.727,.737,4,5,.800,1,6,7,2,1,1,6,4,32,21.1,-21,Brandon Ingram
485,8,2024-11-04,NOP,,POR,"L, 100-118",*,33:27,11,24,.458,1,8,.125,10,16,.625,.479,4,5,.800,0,5,5,7,1,0,4,3,27,16.4,-10,Brandon Ingram
486,9,2024-11-06,NOP,,CLE,"L, 122-131",*,38:41,9,20,.450,2,8,.250,7,12,.583,.500,0,0,,0,5,5,5,1,1,2,2,20,13.5,-17,Brandon Ingram
487,10,2024-11-08,NOP,@,ORL,"L, 88-115",*,26:18,4,12,.333,1,4,.250,3,8,.375,.375,2,2,1.000,1,4,5,5,0,0,6,3,11,2.4,-20,Brandon Ingram
488,11,2024-11-11,NOP,,BRK,"L, 105-107",*,35:22,10,24,.417,2,9,.222,8,15,.533,.458,2,2,1.000,1,4,5,9,1,0,4,2,24,15.6,-3,Brandon Ingram
489,12,2024-11-13,NOP,@,OKC,"L, 88-106",*,35:15,7,18,.389,4,8,.500,3,10,.300,.500,0,0,,2,4,6,6,1,0,8,2,18,7.2,-17,Brandon Ingram
490,13,2024-11-15,NOP,,DEN,"W, 101-94",*,36:48,12,26,.462,3,9,.333,9,17,.529,.519,2,2,1.000,0,9,9,7,0,1,2,1,29,21.5,18,Brandon Ingram
491,14,2024-11-16,NOP,,LAL,"L, 99-104",*,37:38,11,23,.478,3,5,.600,8,18,.444,.543,7,9,.778,1,3,4,8,3,1,7,3,32,22.2,0,Brandon Ingram
492,15,2024-11-19,NOP,@,DAL,"L, 91-132",*,33:08,6,15,.400,2,4,.500,4,11,.364,.467,3,4,.750,0,5,5,4,0,0,5,3,17,6.6,-18,Brandon Ingram
,16,2024-11-20,NOP,@,CLE,"L, 100-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
493,17,2024-11-22,NOP,,GSW,"L, 108-112",*,35:48,7,16,.438,2,7,.286,5,9,.556,.500,2,4,.500,1,2,3,7,0,2,4,2,18,11.6,-2,Brandon Ingram
,18,2024-11-25,NOP,@,IND,"L, 110-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,19,2024-11-27,NOP,,TOR,"L, 93-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,20,2024-11-29,NOP,@,MEM,"L, 109-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Ingram
,21,2024-12-01,NOP,@,NYK,"L, 85-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,22,2024-12-02,NOP,@,ATL,"L, 112-124",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
494,23,2024-12-05,NOP,,PHO,"W, 126-124",*,36:40,10,19,.526,3,6,.500,7,13,.538,.605,6,6,1.000,1,6,7,3,2,1,5,3,29,20.8,-1,Brandon Ingram
495,24,2024-12-07,NOP,,OKC,"L, 109-119",*,18:54,1,4,.250,1,2,.500,0,2,.000,.375,2,2,1.000,0,1,1,3,1,0,2,1,5,3.6,-21,Brandon Ingram
,25,2024-12-08,NOP,@,SAS,"L, 116-121",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,26,2024-12-12,NOP,,SAC,"L, 109-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,27,2024-12-15,NOP,@,IND,"L, 104-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,28,2024-12-19,NOP,@,HOU,"L, 113-133",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,29,2024-12-21,NOP,,NYK,"L, 93-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,30,2024-12-22,NOP,,DEN,"L, 129-132 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,31,2024-12-26,NOP,,HOU,"L, 111-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,32,2024-12-27,NOP,,MEM,"L, 124-132",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,33,2024-12-30,NOP,,LAC,"L, 113-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Ingram
,34,2025-01-01,NOP,@,MIA,"L, 108-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,35,2025-01-03,NOP,,WAS,"W, 132-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,36,2025-01-05,NOP,@,WAS,"W, 110-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,37,2025-01-07,NOP,,MIN,"L, 97-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,38,2025-01-08,NOP,,POR,"L, 100-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,39,2025-01-10,NOP,@,PHI,"W, 123-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,40,2025-01-12,NOP,@,BOS,"L, 119-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,41,2025-01-14,NOP,@,CHI,"W, 119-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,42,2025-01-15,NOP,,DAL,"W, 119-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,43,2025-01-17,NOP,,UTA,"W, 136-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,44,2025-01-20,NOP,,UTA,"W, 123-119 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,45,2025-01-24,NOP,@,MEM,"L, 126-139",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,46,2025-01-25,NOP,@,CHO,"L, 92-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,47,2025-01-27,NOP,@,TOR,"L, 104-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,48,2025-01-29,NOP,,DAL,"L, 136-137",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,49,2025-01-31,NOP,,BOS,"L, 116-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Ingram
,50,2025-02-03,NOP,@,DEN,"L, 113-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,51,2025-02-05,NOP,@,DEN,"L, 119-144",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,52,2025-02-07,TOR,@,OKC,"L, 109-121",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,53,2025-02-09,TOR,@,HOU,"L, 87-94",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,54,2025-02-11,TOR,@,PHI,"W, 106-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,55,2025-02-12,TOR,,CLE,"L, 108-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,56,2025-02-21,TOR,,MIA,"L, 111-120 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,57,2025-02-23,TOR,,PHO,"W, 127-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,58,2025-02-25,TOR,,BOS,"L, 101-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,59,2025-02-26,TOR,@,IND,"L, 91-111",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,60,2025-02-28,TOR,@,CHI,"L, 115-125 (OT)",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Ingram
,61,2025-03-02,TOR,@,ORL,"W, 104-102",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,62,2025-03-04,TOR,@,ORL,"W, 114-113",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,63,2025-03-07,TOR,,UTA,"W, 118-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,64,2025-03-08,TOR,,WAS,"L, 117-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,65,2025-03-10,TOR,,WAS,"W, 119-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,66,2025-03-12,TOR,,PHI,"W, 118-105",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,67,2025-03-14,TOR,@,UTA,"W, 126-118",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,68,2025-03-16,TOR,@,POR,"L, 102-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
,69,2025-03-17,TOR,@,PHO,"L, 89-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Ingram
